32041 31852
19161 24819 44
19161 18183 70
19161 10341 100
2121 27360 17
2121 2373 27
2121 3016 29
2121 20713 34
2121 27894 40
2121 20132 57
2121 28598 60
2121 28229 62
2121 2087 63
2121 23241 80
2121 18591 89
2121 6775 108
2121 18867 114
2121 358 129
2121 2400 130
2121 5789 144
27021 5185 2
27021 23820 26
27021 27273 27
27021 27046 32
27021 4802 50
27021 23642 59
27021 26987 63
27021 5535 67
27021 4455 116
27021 6619 120
27021 7652 124
27021 25258 129
27021 27300 130
27021 20478 140
27021 21972 142
27021 30689 144
24409 12850 1
24409 3838 8
24409 30577 38
24409 2190 50
24409 24422 53
24409 2923 67
24409 23431 70
24409 25188 78
24409 1532 88
24409 11388 93
24409 1843 116
24409 4007 120
24409 20881 123
24409 5040 124
24409 19360 142
14575 27916 4
14575 3577 31
14575 14601 33
14575 20743 38
14575 20685 41
14575 14263 52
14575 27204 72
14575 15354 78
14575 19229 108
14575 2956 115
14575 11047 123
14575 9526 142
2682 8142 15
2682 27921 17
2682 2707 32
2682 21274 34
2682 20693 57
2682 29159 60
2682 28790 62
2682 23802 80
2682 19152 89
2682 3456 97
2682 7336 108
2682 919 129
2682 2961 130
2682 6350 144
13706 13732 33
13706 19816 41
13706 13394 52
13706 13672 63
13706 14485 78
13706 10206 90
13706 30452 114
13706 7163 140
19848 25308 15
19848 19861 53
19848 19814 63
19848 479 124
19848 13305 140
19848 14799 142
19790 25250 15
19790 25900 41
19790 19756 63
19790 13247 140
13368 18828 15
13368 19478 41
13368 31379 57
13368 13334 63
13368 18022 108
13368 1749 115
13368 28855 126
13368 22571 132
13368 6825 140
26309 4090 50
26309 4823 67
26309 15380 84
14459 19919 15
14459 14425 63
14459 19113 108
18334 24444 41
18334 18347 53
18334 22988 108
18334 6715 115
2061 12790 14
2061 27834 40
2061 22716 48
2061 2027 63
2061 2840 78
2061 18531 89
2061 22709 92
10152 10404 27
10152 10178 33
10152 9840 52
10152 6652 90
10152 10926 97
10152 14806 108
10152 25810 121
10152 10431 130
10152 5103 142
10152 13820 144
8918 14378 15
8918 9813 29
8918 8944 33
8918 27510 34
8918 26929 57
8918 25388 89
8918 9692 97
8918 13572 108
8918 25664 114
8918 9197 130
8918 3869 142
8918 12586 144
30780 27579 26
30780 30805 32
30780 8561 50
30780 27401 59
30780 2855 61
30780 9294 67
30780 1247 117
30780 10378 120
30780 11411 124
30780 29017 129
30780 31059 130
30767 10196 8
30767 27566 26
30767 30792 32
30767 8548 50
30767 27388 59
30767 2842 61
30767 9281 67
30767 1234 117
30767 10365 120
30767 11398 124
30767 29004 129
30767 31046 130
30767 25718 142
31033 8814 50
31033 30721 52
31033 30055 70
31033 31812 78
31033 19414 115
31033 27505 123
31033 25984 142
25705 25671 63
25705 14776 84
10778 21507 14
10778 11673 29
10778 29370 34
10778 31433 48
10778 23407 72
10778 31426 92
10778 1958 100
10778 15432 108
10778 7250 123
9130 10025 29
9130 29785 48
9130 21759 72
9130 25600 89
9130 29778 92
9130 310 100
9130 13784 108
9130 5602 123
3424 16765 4
3424 14153 14
3424 28663 17
3424 8939 25
3424 4319 29
3424 9592 38
3424 29197 40
3424 9082 44
3424 24079 48
3424 29901 60
3424 2446 70
3424 16053 72
3424 24544 80
3424 19894 89
3424 2859 101
3424 8078 108
19730 25840 41
19730 19743 53
19730 8111 115
1816 15157 4
1816 12545 14
1816 27055 17
1816 7331 25
1816 2711 29
1816 22471 48
1816 28293 60
1816 838 70
1816 14445 72
1816 22936 80
1816 18286 89
1816 22464 92
1816 6470 108
10947 24288 4
10947 16462 25
10947 17115 38
10947 17057 41
10947 16605 44
10947 6966 47
10947 9969 70
10947 23576 72
10947 2127 100
10947 7419 123
19968 30697 14
19968 19994 33
19968 19656 52
19968 19934 63
19968 20747 78
19968 16468 90
26718 15159 1
26718 4882 2
26718 6147 8
26718 15720 31
26718 26731 53
26718 5232 67
26718 13697 93
26718 17898 100
26718 15099 115
26718 6316 120
26718 23190 123
21510 9951 1
21510 27620 41
21510 21523 53
21510 8489 93
21284 21536 27
21284 21309 32
21284 10355 84
21284 22058 97
21284 19521 129
21284 21563 130
21284 16235 142
21271 21297 33
21271 10342 84
21271 17771 90
21271 22045 97
21271 21550 130
21271 24939 144
21224 21250 33
21224 20912 52
21224 21237 53
21224 21190 63
21224 22003 78
21224 17724 90
21224 8203 93
21224 9605 115
21224 1855 124
21224 14681 140
21537 9978 1
21537 27647 41
21537 10608 84
21537 8516 93
21537 9918 115
21537 2168 124
21537 16488 142
14715 3156 1
14715 28056 4
14715 3717 31
14715 20825 41
14715 20373 44
14715 10734 47
14715 13737 70
14715 27344 72
14715 19369 108
14715 3096 115
14254 19714 15
14254 18908 108
14254 29741 126
14254 23457 132
14254 9205 142
31362 10791 8
31362 31375 53
31362 3437 61
31362 1829 117
31362 10960 120
30910 10339 8
30910 8691 50
30910 2985 61
30910 9424 67
30910 19981 84
30910 17889 93
30910 19291 115
30910 1377 117
30910 10508 120
30910 11541 124
30910 31189 130
30910 24367 140
25265 14267 31
25265 3046 50
25265 25278 53
25265 3779 67
25265 12244 93
25265 13646 115
25265 4863 120
25265 21737 123
24274 3703 8
24274 24526 27
24274 24300 33
24274 2055 50
24274 23962 52
24274 24240 63
24274 25053 78
24274 1397 88
24274 20774 90
24274 11253 93
24274 12655 115
24274 3872 120
24274 19225 142
12231 7182 142
16432 16684 27
16432 16458 33
16432 16398 63
16432 5503 84
16432 12932 90
16432 17206 97
16432 21086 108
16432 16711 130
16432 25635 132
16432 20100 144
24687 4116 8
24687 2468 50
24687 24700 53
24687 3201 67
24687 4285 120
24687 5318 124
24687 19638 142
13633 26974 4
13633 19148 25
13633 2635 31
13633 9652 47
13633 26262 72
13633 4813 100
13633 10105 123
21724 10165 1
21724 10795 84
21724 8703 93
21724 2355 124
21724 16675 142
24287 3716 8
24287 24313 33
24287 2068 50
24287 23975 52
24287 24253 63
24287 20787 90
24287 11266 93
24287 25061 97
24287 12668 115
24287 1721 116
24287 3885 120
24287 24566 130
24287 19238 142
24287 27955 144
23949 2113 2
23949 3378 8
23949 24201 27
23949 1730 50
23949 23915 63
23949 4580 124
23949 24228 130
23949 18900 142
23949 27617 144
24227 2391 2
24227 3656 8
24227 13229 31
24227 30337 41
24227 2008 50
24227 23249 70
24227 25006 78
24227 1350 88
24227 12608 115
24227 1661 116
24227 3825 120
24227 20699 123
24227 4858 124
24227 19178 142
13332 1773 1
13332 24061 14
13332 14227 29
13332 19442 41
13332 31343 57
13332 17986 108
13332 30078 114
13332 1713 115
1384 6844 15
1384 26623 17
1384 1636 27
1384 2279 29
1384 1410 33
1384 19976 34
1384 1072 52
1384 27861 60
1384 27492 62
1384 22504 80
1384 17854 89
1384 2158 97
1384 6038 108
1384 18130 114
1384 1663 130
1384 5052 144
19212 29941 14
19212 8214 31
19212 18234 70
19212 31841 72
19212 19991 78
19212 15684 123
15703 21163 15
15703 12203 90
15703 16477 97
15703 31361 121
15703 15982 130
15703 24906 132
15703 9160 140
15703 19371 144
13091 26432 4
13091 18606 25
13091 2093 31
13091 19201 41
13091 18749 44
13091 9110 47
13091 12113 70
13091 25720 72
13091 4271 100
13091 12526 101
13091 17745 108
13091 1472 115
13091 9563 123
27601 16042 1
27601 5382 50
27601 27614 53
27601 6115 67
27601 14580 93
27601 7199 120
3257 28496 17
3257 4152 29
3257 21849 34
3257 29030 40
3257 23912 48
3257 29734 60
3257 29365 62
3257 24377 80
3257 19727 89
3257 23905 92
3257 7911 108
3257 27467 119
20954 27064 41
20954 9335 115
8020 13480 15
8020 8272 27
8020 8915 29
8020 26612 34
8020 24490 89
8020 8794 97
8020 12674 108
8020 24766 114
8020 23678 121
8020 8299 130
8020 17223 132
8020 11688 144
23017 28477 15
23017 23043 33
23017 29127 41
23017 798 50
23017 22705 52
23017 23030 53
23017 22983 63
23017 23796 78
23017 12088 84
23017 9996 93
23017 451 116
23017 3648 124
28839 17280 1
28839 17841 31
28839 28852 53
28839 914 61
28839 7353 67
28839 15818 93
28839 20019 100
28839 28274 101
28839 17220 115
28839 8437 120
28839 25311 123
28470 17472 31
28470 24489 47
28470 19650 100
28470 27905 101
28470 24942 123
14991 20451 15
14991 15243 27
14991 15017 33
14991 14957 63
14991 11491 90
14991 15765 97
14991 19645 108
14991 31737 114
14991 30478 126
14991 24194 132
23482 11863 115
18832 7273 1
18832 29561 14
18832 18845 53
18832 31461 72
18832 5811 93
18832 23486 108
7016 20357 4
7016 13184 38
7016 3035 47
7016 27671 48
7016 27664 92
7016 11670 108
7016 31226 119
7016 3488 123
26572 4736 2
26572 23044 123
22947 11949 31
22947 29057 41
22947 28605 44
22947 18966 47
22947 728 50
22947 22960 53
22947 70 88
22947 9926 93
22947 14127 100
22947 11328 115
22947 381 116
22947 19419 123
13113 14008 29
13113 2115 31
13113 19281 38
13113 18771 44
13113 4293 100
13113 17767 108
13113 9585 123
16872 21526 108
16445 16697 27
16445 16411 63
16445 21099 108
16445 14682 129
16445 16724 130
16445 20113 144
22529 693 2
22529 11600 84
16107 16073 63
16107 20761 108
16107 9564 140
16385 16351 63
16385 17164 78
16385 21039 108
5490 16219 14
5490 30729 17
5490 5742 27
5490 6385 29
5490 5516 33
5490 24082 34
5490 5178 52
5490 23501 57
5490 31598 62
5490 26610 80
5490 21960 89
5490 10144 108
5490 21148 121
5490 20977 126
5490 5769 130
5490 14693 132
5490 9158 144
17193 30534 4
17193 29822 72
16698 30039 4
16698 27427 14
16698 5700 31
16698 22808 41
16698 22356 44
16698 29327 72
16698 21352 108
16698 5079 115
16698 13170 123
16698 11649 142
25622 3403 50
25622 4136 67
25622 12601 93
25622 14003 115
25622 5220 120
11370 16830 15
20087 8528 1
20087 9089 31
20087 26255 38
20087 16106 47
20087 19109 70
20087 7066 93
20087 11267 100
20087 16559 123
24640 2804 2
24640 4069 8
24640 24892 27
24640 2421 50
24640 3154 67
24640 11619 93
24640 13021 115
24640 4238 120
24640 5271 124
24640 24919 130
24640 18097 140
24640 19591 142
24640 28308 144
26961 5125 2
26961 26649 52
26961 26927 63
26961 27740 78
26961 16032 84
26961 13940 93
26961 21912 142
24349 30517 38
24349 20368 47
24349 15529 100
24349 23784 101
24349 20821 123
14515 27856 4
14515 25244 14
14515 3517 31
14515 20625 41
14515 20173 44
14515 10534 47
14515 13537 70
14515 27144 72
14515 5695 100
14515 13950 101
14515 19169 108
14515 10987 123
2622 2874 27
2622 2648 33
2622 2310 52
2622 2588 63
2622 19368 114
2622 18280 121
2622 2901 130
2622 6290 144
19278 24738 15
19278 19530 27
19278 19304 33
19278 8349 84
19278 15778 90
19278 6257 93
19278 19557 130
19278 22946 144
9639 9891 27
9639 28231 34
9639 26109 89
9639 6139 90
9639 14293 108
9639 7876 129
9639 4590 142
9639 13307 144
12642 23371 14
12642 12894 27
12642 18752 41
12642 30653 57
12642 9142 90
12642 17296 108
12642 1023 115
12642 28129 126
4800 10260 15
4800 22811 57
4800 21270 89
4800 9454 108
4800 20287 126
13055 31066 57
13055 17709 108
13055 28542 126
18274 29003 14
18274 24384 41
18274 18287 53
18274 22928 108
18274 6655 115
2001 7516 25
2001 14630 72
10092 28684 34
10092 16260 38
10092 9780 52
10092 22721 72
10092 10871 78
10092 14746 108
10092 6564 123
30076 30089 53
30076 2151 61
30076 17055 93
30076 543 117
30076 9674 120
5732 19073 4
5732 30971 17
5732 11247 25
5732 6627 29
5732 11390 44
5732 1751 47
5732 26387 48
5732 4754 70
5732 22202 89
5732 5167 101
5732 10386 108
5732 29942 119
25492 25180 52
25492 14563 84
25492 2615 88
25957 14398 1
25957 5386 8
25957 25970 53
25957 12936 93
25957 5555 120
25485 13926 1
25485 3649 2
25485 3266 50
25485 25498 53
25485 12464 93
25485 13866 115
25485 5083 120
25485 6116 124
25485 20436 142
9491 22832 4
9491 15659 38
9491 15149 44
9491 5510 47
9491 30146 48
9491 22120 72
9491 8926 101
9491 14145 108
9491 5963 123
29047 17488 1
29047 8476 8
29047 18049 31
29047 29060 53
29047 1122 61
29047 7561 67
29047 6170 88
29047 16026 93
29047 17428 115
29047 8645 120
29047 25519 123
29047 9678 124
27821 16262 1
27821 5985 2
27821 27847 33
27821 27509 52
27821 6335 67
27821 28600 78
27821 16892 84
27821 14800 93
27821 16202 115
27821 24293 123
27821 8452 124
27821 22772 142
2342 15683 4
2342 8000 44
2342 1364 70
2342 14971 72
2342 1777 101
16662 22830 38
16662 16097 101
16662 21316 108
16662 13134 123
15136 15162 33
15136 14824 52
15136 15102 63
15136 11636 90
15136 30794 121
15136 30623 126
26147 14588 1
26147 26160 53
26147 13126 93
26147 14528 115
22606 770 2
22606 28716 41
22606 387 50
22606 22619 53
22606 40 116
22606 3237 124
22606 17557 142
27029 15470 1
27029 6458 8
27029 16031 31
27029 23048 47
27029 27042 53
27029 26051 70
27029 18209 100
27029 26464 101
2685 27924 17
2685 3580 29
2685 23340 48
2685 19155 89
2685 23333 92
2685 7339 108
22445 609 2
22445 11516 84
18260 6701 1
18260 24370 41
18260 18273 53
18260 22914 108
18260 6641 115
6444 31683 17
6444 11959 25
6444 12102 44
6444 2463 47
6444 5466 70
6444 27092 92
6444 5879 101
6444 11098 108
6444 30654 119
6444 2916 123
30706 19147 1
30706 10135 8
30706 30732 33
30706 8487 50
30706 30394 52
30706 30719 53
30706 2781 61
30706 30672 63
30706 31485 78
30706 17685 93
30706 1173 117
30706 10304 120
30706 25657 142
22880 28340 15
22880 28990 41
22880 661 50
22880 22893 53
22880 22846 63
22880 314 116
22880 3511 124
22880 16337 140
22880 17831 142
6367 17096 14
6367 6393 33
6367 6055 52
6367 24378 57
6367 6333 63
6367 7146 78
6367 2867 90
6367 27015 92
23475 2904 8
23475 23488 53
23475 10454 93
23475 11856 115
23475 909 116
23023 28483 15
23023 23275 27
23023 23049 33
23023 29133 41
23023 22711 52
23023 23036 53
23023 22989 63
23023 12094 84
23023 11404 115
13384 19494 41
13384 13350 63
13384 22587 132
13384 6841 140
13384 8335 142
17378 28107 14
17378 6380 31
17378 23546 38
17378 16400 70
17378 30007 72
17378 16813 101
17378 13850 123
16387 4828 1
16387 16413 33
16387 22497 41
16387 16075 52
16387 16353 63
16387 17166 78
16387 21041 108
16387 11338 142
8545 19274 14
8545 8511 63
8545 13199 108
8545 24032 126
8545 17748 132
16800 17052 27
16800 13300 90
16800 21454 108
16800 15037 129
16800 17079 130
16800 26003 132
16800 10257 140
16800 11751 142
16800 20468 144
22019 10460 1
22019 8998 93
13837 27178 4
13837 14732 29
13837 2839 31
13837 26466 72
13837 18491 108
13837 10309 123
30788 10217 8
30788 30801 53
30788 29810 70
30788 1255 117
30788 27260 123
10203 16313 41
10203 30858 48
10203 30851 92
10203 14857 108
2021 15362 4
2021 12750 14
2021 7679 44
2021 28498 60
2021 1043 70
2021 23141 80
2021 22669 92
2021 6675 108
2021 26231 119
14107 14359 27
14107 15002 29
14107 14133 33
14107 18761 108
14107 30853 114
14107 29765 121
14107 29594 126
14107 14386 130
14107 17775 144
30763 29000 129
30763 31042 130
24127 3556 8
24127 24379 27
24127 30237 41
24127 1908 50
24127 24093 63
24127 13198 84
24127 20627 90
24127 24901 97
24127 1561 116
24127 4758 124
24127 24406 130
24127 19078 142
21577 10018 1
21577 21590 53
21577 21543 63
21577 8556 93
21577 9958 115
21577 2208 124
21577 16528 142
10588 21317 14
10588 11483 29
10588 31243 48
10588 15242 108
31172 8953 50
31172 3247 61
31172 9686 67
31172 19553 115
31172 1639 117
31172 10770 120
9673 15188 25
9673 10568 29
9673 15841 38
9673 15331 44
9673 5692 47
9673 8695 70
9673 30321 92
9673 9108 101
9673 14327 108
9673 6145 123
10757 24098 4
10757 21486 14
10757 11652 29
10757 16925 38
10757 9779 70
10757 31405 92
10757 1937 100
10757 15411 108
10757 7229 123
7968 13428 15
7968 8863 29
7968 7994 33
7968 7656 52
7968 25979 57
7968 8747 78
7968 28616 92
7968 12622 108
7968 24714 114
7968 23455 126
8529 25275 114
25637 3801 2
25637 5066 8
25637 3418 50
25637 25650 53
25637 4151 67
25637 2760 88
25637 14018 115
25637 5235 120
25637 22109 123
6506 31745 17
6506 7401 29
6506 27161 48
6506 7285 78
6506 22976 89
6506 11160 108
6506 30716 119
6506 2978 123
15999 28628 72
15999 16778 78
15999 20653 108
26852 15293 1
26852 13831 93
26852 15233 115
26852 6450 120
2508 27747 17
2508 8023 25
2508 8166 44
2508 23163 48
2508 1530 70
2508 15137 72
2508 23628 80
2508 18978 89
2508 7162 108
22733 11174 1
22733 28843 41
22733 22746 53
22733 21755 70
22733 9712 93
22733 13913 100
22733 19205 123
18083 24193 41
18083 18096 53
18083 22737 108
6267 31506 17
6267 11782 25
6267 11925 44
6267 2286 47
6267 26922 48
6267 5289 70
6267 18896 72
6267 27387 80
6267 26915 92
6267 10921 108
6267 30477 119
6267 2739 123
25823 3987 2
25823 5252 8
25823 3604 50
25823 25836 53
25823 4337 67
25823 17003 100
25823 14204 115
25823 5421 120
25823 22295 123
25823 6454 124
24085 2249 2
24085 24111 33
24085 30195 41
24085 23773 52
24085 24051 63
24085 24864 78
24085 20585 90
24085 19036 142
11639 12534 29
11639 17749 41
11639 16293 108
16912 27641 14
16912 23022 41
16912 21566 108
16912 5293 115
16854 16867 53
16402 16654 27
16402 16428 33
16402 22512 41
16402 16090 52
16402 17181 78
16402 12902 90
16402 21056 108
16402 4783 115
16402 25605 132
16402 11353 142
23373 1537 2
23373 2802 8
23373 23399 33
23373 1154 50
23373 23061 52
23373 23386 53
23373 24152 78
23373 496 88
23373 19873 90
23373 10352 93
23373 11754 115
23373 807 116
23373 18324 142
15398 3839 1
15398 28739 4
15398 20913 25
15398 14420 70
15398 28027 72
15398 6578 100
15398 20052 108
15398 11870 123
7216 17945 14
7216 25808 34
7216 19845 72
7216 27864 92
18252 23712 15
18252 18504 27
18252 14752 90
18252 19026 97
18252 22906 108
18252 13203 142
9240 19969 14
9240 27832 34
9240 29888 92
9240 13894 108
9240 25986 114
9240 24727 126
29837 9266 8
29837 1912 61
29837 8351 67
29837 16816 93
29837 18218 115
29837 304 117
29837 9435 120
29837 10468 124
29837 23294 140
29837 24788 142
7592 20933 4
7592 8371 78
7592 4064 123
29824 7988 2
29824 9253 8
29824 1899 61
29824 8338 67
29824 16803 93
29824 18205 115
29824 291 117
29824 9422 120
29824 10455 124
29824 23281 140
29824 24775 142
1886 12615 14
1886 27659 40
1886 1574 52
1886 1852 63
1886 2665 78
1886 17373 126
8325 19054 14
8325 13785 15
8325 9220 29
8325 26917 34
8325 28980 48
8325 8291 63
8325 24795 89
8325 28973 92
8325 12979 108
16790 17042 27
16790 5861 84
16790 13290 90
16790 21444 108
16790 17069 130
16790 20458 144
18192 23652 15
18192 13143 142
278 11007 14
278 5738 15
278 1057 78
278 4932 108
9409 14869 15
9409 9375 63
9409 26155 114
10442 11337 29
10442 16610 38
10442 16552 41
10442 31097 48
10442 9464 70
10442 23071 72
10442 11221 78
10442 15096 108
10442 6914 123
10442 5393 142
24762 4191 8
24762 30930 38
24762 30872 41
24762 2543 50
24762 3276 67
24762 1885 88
24762 11741 93
24762 2196 116
24762 4360 120
24762 21234 123
24762 19713 142
149 5609 15
149 401 27
149 175 33
149 25922 40
149 923 97
149 16895 114
149 428 130
149 3817 144
22237 28405 38
22237 27895 44
22237 21259 70
22011 18810 26
22011 22036 32
22011 18632 59
22011 21977 63
22011 18511 90
22011 22785 97
22011 2642 124
22011 20248 129
22011 22290 130
22011 15468 140
22011 25679 144
28095 6259 2
28095 5876 50
28095 28061 63
28095 6609 67
28095 7693 120
28095 8726 124
28095 21552 140
21998 18797 26
21998 22023 32
21998 18619 59
21998 11069 84
21998 2629 124
21998 20235 129
21998 22277 130
21998 15455 140
21998 25666 144
11056 16516 15
11056 11308 27
11056 11082 33
11056 11022 63
11056 7556 90
11056 27802 114
11056 26714 121
11056 11335 130
11056 6007 142
18485 24595 41
18485 18498 53
18485 5464 93
18485 23139 108
18485 6866 115
18485 13436 142
2616 27855 17
2616 2304 52
2616 29093 60
2616 28724 62
2616 2582 63
2616 3395 78
2616 23736 80
2616 19086 89
2616 7270 108
2616 26826 119
22264 28432 38
22264 45 50
22264 21952 52
22264 10645 115
22264 18736 123
22264 2895 124
22264 17215 142
15442 3883 1
15442 26171 14
15442 4444 31
15442 21610 38
15442 14464 70
15442 6622 100
15442 20096 108
15442 11914 123
15442 10393 142
25653 14034 115
25653 6284 124
25653 20604 142
16201 4642 1
16201 26930 14
16201 16227 33
16201 15889 52
16201 16167 63
16201 16980 78
16201 20855 108
16201 4582 115
16201 31688 126
16201 11152 142
5498 10958 15
5498 5750 27
5498 5524 33
5498 24090 34
5498 5186 52
5498 23509 57
5498 21968 89
5498 1998 90
5498 6272 97
5498 21156 121
5498 20985 126
5498 5777 130
5498 14701 132
5498 9166 144
5160 30399 17
5160 23171 57
5160 31637 60
5160 31268 62
5160 26280 80
5160 21630 89
5160 1660 90
5160 5934 97
5160 9814 108
5160 5439 130
5160 14363 132
5160 8828 144
23483 1647 2
23483 23496 53
23483 11864 115
5438 30677 17
5438 24030 34
5438 26093 48
5438 5126 52
5438 23449 57
5438 31546 62
5438 18067 72
5438 26558 80
5438 21908 89
5438 26086 92
5438 29648 119
5438 1910 123
6251 11711 15
6251 31490 17
6251 3050 26
6251 6503 27
6251 6276 32
6251 24843 34
6251 2872 59
6251 6217 63
6251 27371 80
6251 2751 90
6251 7025 97
6251 10905 108
6251 21909 121
6251 21738 126
6251 4488 129
6251 6530 130
6251 9919 144
1972 15313 4
1972 7630 44
1972 994 70
1972 1407 101
10126 15586 15
10126 26872 114
10126 5077 142
11079 16539 15
11079 7878 26
11079 11331 27
11079 11974 29
11079 11104 32
11079 29090 57
